geslacht,gebjaar,aantalhh,burgstat,nettoink,oplcat
2,1935,2,1,875,1
2,1991,3,5,250,2
1,1962,4,1,1900,4
1,1957,4,1,1750,1
2,1972,4,1,405,5
1,2003,4,5,0,1
1,1993,4,5,0,1
1,1949,2,5,2700,6
1,1995,7,5,0,1
2,1946,2,1,1900,6
1,1939,2,1,1700,2
2,1963,2,3,900,2
2,1959,2,1,0,1
1,1971,1,5,1721,1
2,1991,3,5,0,1
2,1946,6,1,0,2
2,1926,1,4,1750,2
1,1953,4,1,2058,5
1,1999,4,5,0,1
2,1992,5,5,0,1
1,1967,4,2,2200,4
2,1988,4,5,100,3
2,2002,4,5,0,1
2,1952,3,1,300,2
2,1957,5,1,1100,4
2,2006,3,5,0,NA
1,1974,2,1,152460,2
2,1952,2,1,2400,6
1,1973,4,1,3000,5
2,1958,1,5,1750,5
1,1968,3,1,-14,5
1,1985,1,5,500,3
1,2000,3,5,0,1
1,1975,4,3,-13,2
1,1989,5,5,600,3
1,1983,3,5,-13,2
2,1992,3,5,0,2
1,1965,4,5,2085,5
1,1972,1,5,1250,4
1,1993,3,5,0,1
2,1968,2,3,1100,4
2,1981,2,5,1550,5
2,1983,3,5,0,3
2,1951,2,1,720,2
1,1931,2,1,2000,3
2,1969,6,3,1700,5
2,1967,3,1,1300,2
1,1987,4,5,250,1
2,1968,4,1,250,4
2,1969,3,1,250,2
1,1944,2,1,2200,2
1,1979,2,5,2000,4
2,1965,5,1,500,3
2,1966,2,3,1250,2
2,1944,2,4,-13,3
1,1950,2,3,2200,2
2,2006,3,5,0,NA
1,1946,2,1,2017,5
2,2007,3,5,0,NA
1,1967,5,1,750,2
1,1964,3,1,1800,5
1,1976,3,5,1750,4
2,2007,5,5,0,1
2,1976,1,2,1100,4
2,1985,3,5,300,3
1,1993,4,5,0,1
1,1957,2,1,1750,2
1,2003,5,5,0,1
1,1929,1,4,1250,4
1,1991,5,5,0,1
2,2004,4,5,0,NA
2,1997,4,5,0,1
2,1980,3,5,1475,5
2,1997,5,5,0,1
1,1970,4,1,1250,5
2,1992,5,5,0,1
2,2005,5,5,0,NA
2,2006,4,5,0,NA
2,1966,4,1,1200,4
2,2003,4,5,0,1
2,2001,4,5,0,1
2,1971,4,1,876,4
2,1971,5,1,800,4
1,1955,1,5,2000,5
1,1989,5,5,250,2
2,1968,2,3,1033,2
2,1990,4,5,250,2
1,1952,4,1,2050,4
1,1989,7,5,750,2
1,1940,2,1,2500,2
2,1963,4,1,1500,4
2,1959,3,1,2010,5
2,1987,4,5,0,1
1,1946,1,3,0,1
1,1989,5,5,250,3
1,1946,1,3,2600,1
1,2005,4,5,0,NA
1,1962,4,5,2300,4
1,2003,3,5,0,1
2,2004,3,5,0,1
2,1980,4,5,1200,5
2,2005,4,5,0,NA
2,1967,4,1,830,2
2,1959,4,1,0,4
1,1966,4,1,1886,5
2,1997,5,5,0,1
1,1950,5,1,5000,3
1,1960,2,5,2700,4
2,1994,5,5,0,1
1,1966,4,5,2700,6
1,1986,4,5,-14,2
1,1965,5,1,2750,5
1,1987,4,5,0,4
2,1954,2,1,0,2
2,1984,4,5,750,4
1,1967,5,1,2200,6
1,1999,5,5,0,1
1,2004,5,5,0,1
1,1982,2,5,1276,4
2,1970,3,3,1467,4
1,1955,2,1,2370,1
2,1970,4,1,1041,4
2,1957,2,1,-14,1
2,1986,2,1,522,4
2,1973,4,1,0,5
2,1994,5,5,0,1
1,1978,1,5,2100,5
2,1969,3,1,1200,4
2,1933,1,4,750,2
2,1977,1,5,1700,5
1,1932,2,1,1300,2
1,2003,4,5,0,1
2,1959,2,1,1700,2
1,1985,3,5,1000,4
1,1951,3,1,1000,2
1,1994,4,5,0,1
1,1976,5,1,1750,4
2,1964,6,1,-13,4
2,1942,2,1,1556,2
1,1955,4,1,1800,2
2,1989,4,5,100,3
1,1991,5,5,0,1
1,2003,5,5,0,1
2,1951,2,1,176,4
2,2000,5,5,0,1
2,1952,2,1,0,1
2,1996,4,5,0,1
2,2003,4,5,0,1
2,1962,4,1,902,2
2,1988,4,5,200,4
2,1992,3,5,0,1
2,1949,2,1,1300,5
2,1958,4,5,2200,5
2,1963,2,3,1800,4
2,2002,5,5,0,1
1,2007,6,5,0,NA
2,1944,1,3,1589,2
2,1964,4,1,800,2
1,1950,3,1,1600,5
1,1979,3,1,1640,5
1,1962,4,1,2200,3
2,1997,3,5,0,1
1,1918,3,1,-13,2
2,1947,2,1,0,2
2,1940,2,1,639,2
1,1976,2,5,1677,2
2,1979,2,5,1250,4
1,1960,4,1,2260,5
2,2007,3,5,0,NA
2,1998,6,5,0,1
2,1999,4,5,0,1
2,1985,2,5,400,3
2,1972,3,1,1250,4
2,1992,5,5,0,1
1,1951,2,1,-13,6
1,1948,1,1,1800,2
1,1935,2,1,2682,5
1,1981,3,5,1391,3
2,1990,4,5,-13,1
2,1957,5,1,0,2
2,1993,3,5,0,1
2,1971,4,5,1581,4
1,1983,2,5,1500,4
1,2002,3,5,0,1
1,1986,3,5,0,1
2,1957,3,3,1000,2
2,1966,4,1,1255,2
1,1949,3,1,-13,4
2,2007,4,5,0,NA
1,1971,6,1,1750,2
2,1945,2,1,0,2
2,1957,3,1,1530,3
1,1948,3,1,4250,6
2,1987,5,5,1100,3
2,2000,5,5,0,1
1,2001,4,5,0,1
1,1933,2,1,3169,5
2,1946,2,1,0,2
1,1957,3,1,2150,5
1,1971,2,1,-13,4
2,1995,4,5,0,1
1,1932,2,1,1220,4
2,2003,4,5,0,1
1,1971,3,5,-13,3
2,1978,2,5,1750,5
1,1944,2,1,1667,2
1,1974,3,1,2750,4
1,1993,5,5,50,1
2,1957,2,1,1700,1
1,1945,2,1,1486,4
1,1974,4,1,1500,2
1,1935,2,1,2000,4
1,1963,3,1,0,2
2,1956,2,1,800,5
1,1973,4,5,2045,4
2,2002,4,5,0,1
1,1947,2,1,1270,2
2,1985,2,5,-14,4
2,1950,4,1,1100,4
1,1966,5,1,2400,5
2,1964,3,1,800,2
1,1962,3,5,1500,6
1,1951,2,1,2655,6
2,1937,2,1,-14,5
2,1989,1,5,750,2
2,1934,2,1,639,2
1,2004,4,5,0,NA
1,2000,4,5,0,1
2,1999,4,5,0,1
1,1991,6,5,210,2
2,1946,2,1,250,2
1,1980,2,5,2500,1
1,1946,3,1,2450,6
1,2005,4,5,0,NA
1,1965,3,1,-14,1
1,1975,1,5,827,4
2,1967,4,1,1650,3
2,2002,5,5,0,1
1,1984,3,5,1100,1
1,1950,3,3,2250,2
1,1946,2,1,1600,4
2,1953,3,1,750,4
1,1970,1,2,2500,4
1,1983,4,5,-13,3
2,1947,2,1,0,2
2,2006,5,5,0,NA
1,1987,4,5,0,3
1,1989,3,5,1250,1
2,1962,3,3,750,1
2,1972,4,1,1200,4
2,1998,4,5,0,1
2,1946,2,1,0,2
1,1975,4,3,1600,2
2,1930,4,4,800,2
2,1955,3,1,722,2
2,1989,7,5,250,1
