dataset,age,bfi_O_imag,bfi_O_arti,bfi_C_lazy,bfi_C_thor,bfi_E_rese,bfi_E_soci,bfi_A_faul,bfi_A_trus,bfi_N_rela,bfi_N_nerv
shp,44,10,2,10,10,10,10,7,5,6,6
shp,18,10,7,6,8,7,8,7,10,2,2
shp,79,10,5,5,10,2,10,8,8,3,2
shp,57,6,3,9,9,3,5,9,8,1,1
shp,53,6,7,6,9,5,7,4,7,6,5
shp,79,8,9,10,10,3,8,7,8,5,5
shp,51,8,5,5,9,3,8,5,8,2,5
shp,43,5,3,7,5,7,6,7,5,5,3
shp,46,5,0,8,9,7,9,8,9,3,5
shp,16,6,4,4,8,7,8,7,5,7,4
shp,14,8,8,10,9,8,10,9,8,1,3
shp,62,5,5,3,8,5,8,4,5,3,5
shp,55,8,3,2,8,5,6,4,8,-0,9
shp,29,8,2,10,8,10,10,8,8,2,0
shp,35,5,4,8,8,2,6,8,8,2,2
shp,64,8,0,10,10,10,10,10,5,2,0
shp,68,7,3,5,7,4,8,5,7,3,6
shp,63,6,3,9,8,7,8,3,8,3,5
shp,45,4,5,6,9,7,8,6,9,1,2
shp,45,8,7,7,7,4,8,6,7,4,7
shp,16,6,3,1,8,3,6,8,6,3,6
shp,14,10,5,7,8,3,7,7,9,5,7
shp,64,8,0,7,8,5,8,5,5,3,2
shp,62,9,7,9,9,2,7,5,8,3,5
shp,39,10,5,10,8,10,10,10,10,2,0
shp,14,8,3,9,10,8,10,9,10,2,7
shp,61,9,10,3,8,8,8,8,10,2,2
shp,79,8,0,5,10,5,10,8,8,8,8
shp,44,7,7,6,8,8,7,6,7,3,5
shp,40,7,8,6,8,4,8,7,8,3,5
shp,16,9,10,8,7,10,9,7,9,2,2
shp,62,8,9,9,9,8,8,3,9,5,9
shp,37,6,8,6,8,6,6,4,6,4,2
shp,34,6,5,5,7,6,7,5,7,4,4
shp,59,7,4,9,7,6,7,6,7,4,5
shp,56,7,1,7,8,3,7,6,8,2,3
shp,38,7,6,8,8,8,7,4,6,3,2
shp,32,6,3,5,9,4,6,6,4,6,8
shp,44,6,7,4,7,5,7,6,7,5,4
shp,41,5,3,3,9,3,3,4,4,6,7
shp,39,7,5,5,10,10,6,8,8,6,2
